Name,Price ($),Cores,Score,Thread Mark,TDP,Socket,Power Efficiency (Score/W),Price Efficiency (Score/$),Average Efficiency,URL,Power Efficiency (FPS/W)
Intel Core i9-14900K,421.94,24,60625,4752,125,FCLGA1700,485,143.6816,314.3408,https://www.ebay.com/itm/Intel-Core-i9-14900K-14th-Gen-24-Core-32-Thread-3-2GHz-LGA-1700-Processor-Used-/296228514218,485.0000
Intel Core i9-14900KF,699.99,24,59940,4720,125,FCLGA1700,479.52,85.6298,282.5749,https://www.ebay.com/itm/Intel-Core-i9-14900KF-Unlocked-Desktop-Processor-Up-6-0-GHz-max-clock-speed-/126166865081,479.5200
AMD Ryzen Threadripper PRO 7955WX,"3,993.76",16,59809,4089,350,sTR5,170.8829,14.9756,92.9292,https://www.ebay.com/itm/HP-Z6-G5-Tower-Workstation-AMD-R-7955WX-16GB-RAM-512GB-SSD-W11P-9J2K4UT-ABA-/126333244749,170.8829
Intel Core i9-13900K,229.90,24,59237,4629,125,FCLGA1700,473.896,257.6642,365.7801,https://www.ebay.com/itm/Intel-Core-i9-13900K-13th-Gen-24-cores-8-P-cores-16-E-cores-36M-Cache-3-/387233779197,473.8960
Intel Core i9-13900KF,327.82,24,58591,4621,125,FCLGA1700,468.728,178.7292,323.7286,https://www.ebay.com/itm/Intel-Core-i9-13900KF-LGA1700-24-Core-48-Thread-Desktop-Processor-Used-/386899998231,468.7280
AMD Ryzen Threadripper 3960X,369.15,24,54870,2681,280,sTRX4,195.9643,148.6388,172.3016,https://www.ebay.com/itm/ASUS-PRIME-TRX40-PRO-S-support-3rd-Gen-AMD-Ryzen-Threadripper-3960x-3970x-3990x-/395261243374,195.9643
Intel Core i7-14700K,229.90,20,53464,4476,125,FCLGA1700,427.712,232.5533,330.1327,https://www.ebay.com/itm/Intel-Core-i7-14700K-Unlocked-Desktop-Processor-Up-5-6-GHz-Sales-/355894281729,427.7120
Intel Core i7-14700KF,599.99,20,53347,4477,125,FCLGA1700,426.776,88.9131,257.8446,https://www.ebay.com/itm/Intel-Core-i7-14700KF-20-Cores-3-4GHz-LGA-1700-CPU-Processor-BX8071514700KF-/395101260687,426.7760
AMD Ryzen 9 7900X,250.00,12,51823,4263,170,AM5,304.8412,207.2920,256.0666,https://www.ebay.com/itm/AMD-Ryzen-9-7900X3D-12-Core-24-Thread-Desktop-Processor-/204851705232,304.8412
Intel Core i9-13900F,"3,741.59",24,51190,4436,65,FCLGA1700,787.5385,13.6813,400.6099,https://www.ebay.com/itm/Alienware-Aurora-R16-Gaming-Desktop-Intel-Core-i9-13900F-32GB-DDR5-RAM-1T-/156208552776,787.5385
AMD Ryzen Threadripper PRO 7945WX,"3,386.70",12,49599,4086,350,sTR5,141.7114,14.6452,78.1783,https://www.ebay.com/itm/HP-Z6-G5-Tower-Workstation-AMD-R-7945WX-16GB-RAM-512GB-SSD-W11P-9J2K0UT-ABA-/126333232967,141.7114
AMD Ryzen 9 7900,250.00,12,48869,4152,65,AM5,751.8308,195.4760,473.6534,https://www.ebay.com/itm/AMD-Ryzen-9-7900X3D-12-Core-24-Thread-Desktop-Processor-/204851705232,751.8308
Intel Core i9-14900F,878.99,24,48657,4584,65,FCLGA1700,748.5692,55.3556,401.9624,https://www.ebay.com/itm/CPU-INTEL-Desktop-Core-i9-i9-14900F-Raptor-Lake-2000-MHz-Cores-24-36MB-/395526552907,748.5692
Intel Core i9-14900,394.75,24,47947,4594,65,FCLGA1700,737.6462,121.4617,429.5539,https://www.ebay.com/itm/Intel-Core-i9-14900KF-3-2GHz-24-Core-LGA1700-BX8071514900KF-Processor-Used-/395418976204,737.6462
Intel Core i9-13900,229.90,24,47399,4346,65,FCLGA1700,729.2154,206.1722,467.6938,https://www.ebay.com/itm/Intel-Core-i9-13900K-13th-Gen-24-cores-8-P-cores-16-E-cores-36M-Cache-3-/387233779197,729.2154
Intel Core i7-13700K,229.99,16,46504,4362,125,FCLGA1700,372.032,202.2001,287.1160,https://www.ebay.com/itm/Intel-Core-i7-13700K-13th-Gen-16-cores-8-P-cores-8-E-cores-30M-Cache-3-4-/186590448592,372.0320
Intel Core i7-13790F,425.00,16,46309,4159,65,FCLGA1700,712.4462,108.9624,410.7043,https://www.ebay.com/itm/Intel-Core-I7-13790F-2-1GHz-5-2GHz-8P-8E-16-Core-24Threads-LGA1700-CPU-Processor-/126577882988,712.4462
Intel Core i7-13700KF,255.99,16,46268,4354,125,FCLGA1700,370.144,180.7414,275.4427,https://www.ebay.com/itm/Intel-Core-i7-13700KF-SRMB9-3-4GHz-CPU-Processor-/116258903479,370.1440
AMD Ryzen 9 5950X,200.00,16,45645,3469,105,AM4,434.7143,228.2250,331.4697,https://www.ebay.com/itm/AMD-Ryzen-9-5900X-Desktop-Processor-4-9GHz-12-Cores-Socket-AM4-/235653128541,434.7143
Intel Core i7-14700F,799.00,20,44362,4326,65,FCLGA1700,682.4923,55.5219,369.0071,https://www.ebay.com/itm/HP-VICTUS-15L-Intel-Core-i7-14700F-32GB-DDR4-1TB-SSD-RTX-3060-/395419680820,682.4923
Intel Core i9-14900T,10000000,24,44248,4192,35,FCLGA1700,1264.2286,0.0044,632.1165,,1264.2286
Intel Core i7-14700,229.90,20,44165,4200,65,FCLGA1700,679.4615,192.1053,435.7834,https://www.ebay.com/itm/Intel-Core-i7-14700K-Unlocked-Desktop-Processor-Up-5-6-GHz-Sales-/355894281729,679.4615
Intel Core i9-13900T,528.00,24,44037,4208,35,FCLGA1700,1258.2,83.4034,670.8017,https://www.ebay.com/itm/Intel-Core-i9-13900T-QS-CPU-processor-1-1GHz-8P-16E-24C-32T-36MB-LGA1700-/135090018465,1258.2000
Intel Core i9-12900K,149.00,16,41478,4166,241,FCLGA1700,172.1079,278.3758,225.2418,https://www.ebay.com/itm/Intel-Core-i9-12900k-ES-LGA1700-CPU-version-code-qxlb-1-20ghz-16-core-24thread-/387148563458,172.1079
Intel Core i9-12900KF,142.80,16,41138,4164,241,FCLGA1700,170.6971,288.0812,229.3892,https://www.ebay.com/itm/Intel-Core-i9-12900KF-3-2GHz-16-Core-Processor-Used-/385898420782,170.6971
Intel Core i5-14600KF,308.51,14,39450,4297,125,FCLGA1700,315.6,127.8727,221.7364,https://www.ebay.com/itm/Intel-Core-i5-14600KF-Unlocked-Desktop-Processor-/295993376153,315.6000
Intel Core i5-14600K,269.85,14,39278,4285,125,FCLGA1700,314.224,145.5549,229.8895,https://www.ebay.com/itm/Intel-Core-i5-14600K-3-5GHz-14-Core-20-Thread-CPU-Factory-Sealed-Brand-New-/386992755307,314.2240
