Module,Score,Price ($),Price Efficiency (Score/$),URL
Corsair CMT64GX5M2B6000C30 32GB,24628,,,
Corsair CMH64GX5M2B6600C32 32GB,24603,,,
Corsair CMH32GX5M2X7000C34 16GB,24538,,,
Samsung M323R2GA3DB0-CWMOL 16GB,24503,,,
A-DATA Technology AX5U6400C3216G-BLARBK 16GB,24492,,,
Samsung M323R4GA3DB0-CWMOD 32GB,24487,,,
Corsair CMT32GX5M2X6200C36 16GB,24486,,,
Crucial Technology CP16G56C46U5.C8B2 16GB,24482,,,
Corsair CMK32GX5M2B5600C36 16GB,24477,,,
Corsair CMH64GX5M2B5600C40 32GB,24474,,,
Wilk Elektronik S.A. IR-5600D564L30S/16G 16GB,24412,,,
Corsair CMT64GX5M2X5600C40 32GB,24399,,,
Crucial Technology CT48G56C46S5.M16B1 48GB,24394,,,
Crucial Technology CP32G56C46U5.C16B2 32GB,24348,,,
Corsair CMK64GX5M2B5600C40 32GB,24344,,,
Kingston KF552C40-16 16GB,24323,,,
Kingston KF568C36-16 16GB,24299,,,
Corsair CMH32GX5M2B6000C38 16GB,24281,,,
Corsair CMP64GX5M2X6600C32 32GB,24280,,,
